ID,Keywords
1,"edelweiss, bloom, homeland, snow"
2,"run, dear, sun, bread"
3,"jingle, bells, horse, fun"
4,"night, holy, silent, heavenly"
5,"evening, makeup, party, feel"
6,"moon river, dream maker, world, heart breaker "
8,"dream, angels, destination, good"
9,"love, tender, sweet, fulfilled"
10,"diamond, sky, twinkle, star"
11,"sunshine, happy, love, grey"
12,"little, memories, goodbye, love"
13,"sky, mind, fly, heaven"
14,"driving, lemon, tree, wonder"
15,"feel, tonight, kings, vagabonds"
17,"friend, goodbye, spring, die"
18,"scared, lost, show, money"
19,"flower, seed, snow, spring"
20,"oceans,  waiting, wherever, chance"
